campaign_id,campaign_name,start_date,end_date,budget,region
1,Multi-lateral bottom-line migration,2023-11-04,2024-07-24,18458.92,Idaho
2,Implemented actuating open architecture,2024-02-23,2024-07-24,28907.67,Iowa
3,Total multi-state superstructure,2024-02-18,2024-07-24,46596.48,Connecticut
4,Managed dedicated service-desk,2023-07-30,2024-07-24,27965.81,New Hampshire
5,Re-engineered multimedia methodology,2023-10-23,2024-07-24,33534.34,Massachusetts
6,Cross-group multimedia function,2024-06-08,2024-07-24,12456.03,Idaho
7,Compatible intangible system engine,2024-05-27,2024-07-24,40312.4,Idaho
8,Synergistic grid-enabled collaboration,2023-09-16,2024-07-24,15158.68,Washington
9,Cross-group dedicated protocol,2023-08-23,2024-07-24,23045.69,Indiana
10,Implemented well-modulated throughput,2024-07-21,2024-07-24,45455.71,Ohio
11,Down-sized actuating software,2024-02-11,2024-07-24,49173.0,Wyoming
12,Extended methodical installation,2023-09-19,2024-07-24,48474.54,Minnesota
13,De-engineered context-sensitive policy,2023-11-09,2024-07-24,35346.95,Wyoming
14,Open-source discrete time-frame,2024-04-24,2024-07-24,18756.85,Hawaii
15,Cross-group optimal core,2024-03-03,2024-07-24,35547.7,Tennessee
16,Expanded fresh-thinking extranet,2024-05-15,2024-07-24,28096.14,Rhode Island
17,Secured discrete intranet,2024-03-05,2024-07-24,25285.1,Michigan
18,Diverse 5thgeneration capability,2023-10-22,2024-07-24,18778.47,Virginia
19,Proactive encompassing software,2023-08-16,2024-07-24,39636.34,Arkansas
20,Diverse well-modulated structure,2023-09-07,2024-07-24,46026.46,Wisconsin
21,Grass-roots client-server groupware,2024-03-14,2024-07-24,11013.79,Minnesota
22,Re-contextualized explicit parallelism,2023-08-23,2024-07-24,21667.12,New York
23,Grass-roots uniform monitoring,2024-02-16,2024-07-24,15990.84,Nevada
24,Cloned responsive alliance,2024-06-07,2024-07-24,25798.81,Ohio
25,Triple-buffered systematic analyzer,2023-12-01,2024-07-24,18395.87,Alaska
26,Reverse-engineered non-volatile flexibility,2024-07-22,2024-07-24,15844.92,Vermont
27,Upgradable mobile framework,2024-06-07,2024-07-24,36616.79,Ohio
28,Reverse-engineered executive budgetary management,2024-06-15,2024-07-24,22999.81,Hawaii
29,Distributed upward-trending framework,2023-09-12,2024-07-24,35637.31,South Dakota
30,Business-focused client-server initiative,2023-12-28,2024-07-24,29146.64,Pennsylvania
31,Sharable global knowledge user,2024-04-01,2024-07-24,31395.17,New Mexico
32,Multi-channeled 6thgeneration support,2024-06-23,2024-07-24,24783.58,Arizona
33,Centralized homogeneous knowledgebase,2024-04-21,2024-07-24,25317.47,Alaska
34,Organized systemic solution,2024-01-06,2024-07-24,29778.99,New Jersey
35,Visionary foreground paradigm,2024-01-31,2024-07-24,36512.97,Kentucky
36,Innovative intangible secured line,2024-01-19,2024-07-24,37646.91,Delaware
37,Proactive didactic extranet,2024-07-18,2024-07-24,17488.34,Vermont
38,Persistent intermediate superstructure,2024-03-26,2024-07-24,13768.33,New York
39,Focused fault-tolerant intranet,2023-09-12,2024-07-24,49371.52,Wisconsin
40,Front-line interactive database,2024-03-27,2024-07-24,39571.59,Massachusetts
41,Grass-roots systemic approach,2023-09-14,2024-07-24,11086.14,North Carolina
42,Vision-oriented actuating instruction set,2024-01-11,2024-07-24,39959.77,South Carolina
43,Distributed value-added encryption,2023-11-04,2024-07-24,31135.84,Minnesota
44,Devolved methodical challenge,2023-12-22,2024-07-24,31676.6,Alaska
45,Intuitive discrete service-desk,2023-09-26,2024-07-24,44072.55,Minnesota
46,Business-focused didactic throughput,2023-12-03,2024-07-24,17979.15,Arizona
47,Persistent encompassing time-frame,2024-03-09,2024-07-24,10353.96,Pennsylvania
48,Visionary tangible middleware,2024-05-16,2024-07-24,49718.95,Hawaii
49,Distributed high-level application,2024-01-13,2024-07-24,48983.1,Nebraska
50,Secured optimizing hierarchy,2024-02-12,2024-07-24,25596.33,South Dakota
